nombre,categoria,precio,prioridad,enlace,notas
The Elder Scrolls V: Skyrim Special Edition,Videojuegos,~$26.990,media,https://store.steampowered.com/app/489830/The_Elder_Scrolls_V_Skyrim_Special_Edition/,Versión de Steam
Compas 6 pulgadas,Herramientas,~$15.900,media,https://www.promano.cl/compas-de-punta-6-pulgadas,Artículo específico
Astillero con prensa,Herramientas,~$14.900,media,https://www.promano.cl/astillero-multiangulo-con-prensa,Artículo específico
Pinza mostacho con soporte,Herramientas,~$6.590,media,https://www.promano.cl/pinza-mostacho-recta-con-soporte-integrado,Artículo específico
Granalla Plata,Herramientas,~$21.900,media,https://www.promano.cl/plata-granalla-fina-ag-9999-paq-10-grs-copiar,Artículo específico
Granalla Cobre,Herramientas,~$3.990,media,https://www.promano.cl/granalla-de-cobre-9999-50-gramos-import-de-italia,Artículo específico
Pinza mostacho punta recta,Herramientas,~$2.890,media,https://www.promano.cl/pinza-mostacho-para-soldar-con-prensa-punta-recta,Artículo específico
Pinza mostacho punta curva,Herramientas,~$2.890,media,https://www.promano.cl/pinza-mostacho-para-soldar-con-prensa-punta-curva,Artículo específico
Tercera mano,Herramientas,~$9.900,media,https://www.promano.cl/tercera-mano-para-soldar-no-incluye-la-pinza-ayudante,Artículo específico
Pasta Dialux Rogue,Herramientas,~$5.790,media,https://www.promano.cl/pasta-dialux-roja-rouge-para-abrillantar-oro-y-plata,Artículo específico
Chic for Men Carolina Herrera,Selfcare,~$54.500,baja,https://sairam.cl/es/perfume-chic-varon-edt-100-ml,"Los ML da igual, el mas conveniente"
Eau Fraiche - Versace,Selfcare,~$57.200,baja,https://sairam.cl/es/perfume-versace-eau-fraiche-varon-edt-200-ml,"Los ML da igual, el mas conveniente"
Eau Fraiche Extreme - Versace,Selfcare,~$92.000,baja,https://sairam.cl/es/perfume-versace-eau-fraiche-extreme-varon-edp-100-ml,"Los ML da igual, el mas conveniente"
Mango Buril,Herramientas,~$5.990,media,https://www.promano.cl/mango-de-buril-cambio-rapido-chico,Artículo específico
Buril Onglette n 2,Herramientas,~$29.900,media,https://www.promano.cl/buril-carburo-tungsteno-onglette-num-2,Artículo específico
Buril knife n 24,Herramientas,~$15.900,media,https://www.promano.cl/buril-cuchillo-hss-num-24,Artículo específico
Martillo bola 1 pulgada,Herramientas,~$9.900,media,https://www.promano.cl/martillo-cincelar-bola-y-plano-1-pulgada,Artículo específico
Lima Vallorbe media caña 00,Herramientas,~$45.900,alta,https://www.promano.cl/lima-media-cana-fina-para-anillos-num-00,Artículo específico
